Date,News
2024-02-08,Russian ambassador irritated by Romania's conflict-readiness preparations
2024-02-19,Poland's new government deprograms its once far-right public media
2024-02-19,Israel opposes 'unilateral' imposition of Palestinian state
2024-01-28,Beauty giant Avon under fire over Russia links - BBC News
2024-02-20,Astronomers discover universe’s brightest object – a quasar powered by a black hole that eats a sun a day
2024-02-14,Britain's tea supply facing disruption from Red Sea crisis
2024-02-16,"Drones, armored vehicles and ammunition: Germany has sent another batch of military aid to Ukraine"
2024-02-07,India’s plan for untouched Nicobar isles will be ‘death sentence’ for isolated tribe
2024-01-28,Arab Intelligence warns Hezbollah of potential Israeli operation in Lebanon: LBCI’s sources
2024-02-13,Hezbollah chief says won’t stop shelling north until Israel ends Gaza ‘aggression’
2024-02-20,Russian ambassador booed in Poland at commemoration of Soviet general
2024-02-04,"US intends further strikes on Iran-backed groups, national security adviser says"
2024-02-24,Orban Gives Green Light to Sweden’s NATO Bid - New York Times
2024-02-12,Thousands of UK Deliveroo and Uber Eats drivers to strike on Valentine’s Day
2024-02-23,South Korean government orders protesting doctors back to hospitals
2024-02-08,Cyber-attack by Ukrainian Defence Intelligence: large-scale failure of Russian drone control program occurs
2024-01-31,Russia Ukraine war: ICJ finds Moscow violated international treaties
2024-02-02,"New planets have flattened shapes 'like Smarties', study finds"
2024-02-02,"Indian Navy foils another piracy attempt near Somalia coast, rescues crew of Iranians and Pakistanis"
2024-02-07,I’m covering the Israel-Hamas war for Reuters. Ask me anything about the effects the conflict is having on reporters
2024-02-01,Germany: Scholz calls for joint opposition against far-right
2024-02-22,"Cargo ship fractures bridge in Guangzhou, sending vehicles into the water below"
2024-01-29,Indian Navy warship rescues hijacked Iranian vessel in Gulf of Aden
2024-02-17,Top UN court rejects South African request for urgent measures to safeguard Rafah
2024-02-05,"Russia, China and Iran could target UK via Irish ‘backdoor’, thinktank warns"
2024-01-29,Billionaire Cartel Boss Nicknamed 'Taxi' Arrested in Spain
2024-02-20,Ukraine thwarts wave Of Russian attacks In Zaporizhzhia
2024-02-04,Global Protests Erupt Against Iranian Executions
2024-02-18,"Avdiivka, Longtime Stronghold for Ukraine, Falls to Russians"
2024-01-31,"Germany is considering banning Austrian far-right extremist Martin Sellner from entering the country. Such a move is not unprecedented, but the legal hurdles are high in the EU"
2024-02-03,US strikes in Iraq and Syria reportedly killed nearly 40 people
2024-02-16,Ukraine's Zelensky to sign security pacts with Germany and France
2024-02-24,Scientists announce discovery of 'very strange' 240 million-year-old 'Chinese dragon' fossil
2024-02-21,Pro-war blogger takes own life after propagandists attack Avdiivka post
2024-02-20,Iran arresting teens for celebrating soccer loss to Qatar: rights activists
2024-02-09,Bulgaria is going to prosecute Russian war crimes in Ukraine
2024-02-25,Mexican church officials have helped arrange a truce between 2 warring drug cartels
2024-02-13,Biden touts hostage talks that could yield 6-week cease-fire between Israel and Hamas
2024-02-24,"U.S. rice exports to Haiti have unhealthy levels of arsenic, study finds"
2024-02-06,Ukraine nationalizes oil and gas assets of russian oligarch Khudainatov for UAH 0.5 billion
2024-02-15,"U.S. briefs Canada, other allies about national security concern involving Russia"
2024-02-11,Biden says Israel shouldn't press into Rafah without 'credible' plan to protect civilians
2024-02-03,Canada is considering the possibility of transferring CRV7 rockets to Ukraine
2024-02-17,Tens of thousands protest in Budapest over sexual abuse case pardon
2024-02-02,American Oct. 7 victims and families file $1 billion lawsuit blaming Iran for attack
2024-02-26,Putin’s Allies Accused of Plotting Another Russian Land-Grab
2024-02-16,Taliban say they will never recognize the Durand Line as Afghanistan's official border with Pakistan
2024-02-23,Israel Joins Cease-Fire Talks in Paris
2024-02-01,Christopher Steele: UK High Court throws out Trump ex-spy dossier case
2024-02-07,Rumoured split in Hamas leadership as hope grows for ceasefire deal
2024-02-19,Russian probe into Navalny death extended amid cover-up accusations
2024-02-15,i24NEWS Exclusive: Israel finds 6 drones amid UNRWA donations that entered West Bank this week - I24NEWS
2024-02-07,Ukraine's Zelenskiy orders creation of separate military force for drones
2024-02-22,Romanian Parliament bans sale of energy drinks to minors
2024-02-13,Brussels Proposes Sanctions Against Chinese and Indian Corporations with Ties to Russia
2024-02-09,Ghana artifacts that were looted 150 years ago by British forces have been returned by a US museum
2024-02-20,"Alexei Navalny’s body to be held for two weeks for ‘chemical analysis’, family told"
2024-02-23,Armenia suspends participation in Russian-led Collective Security Treaty Organisation
2024-02-17,Germany's top security official wants easier ways to track right-wing extremist financing
2024-01-31,"Japan government accepts it’s no longer the ’90s, stops requiring floppy disks"
2024-02-25,At least 15 Catholic worshipers killed in attack during a service in Burkina Faso.
2024-02-19,Ministers confirm plan to ban use of mobile phones in schools in England
2024-02-20,Putin denies plans to send nuclear weapon into space
2024-02-12,French security experts identify Moscow-based disinformation network
2024-01-31,"Islamic Resistance in Iraq group is to blame for Jordan drone strike that killed 3 troops, US says"
2024-02-09,US imposes sanctions for violations of Russia oil price cap
2024-01-28,"CIA Director William Burns to hold Hamas hostage talks Sunday with Mossad chief, Qatari prime minister"
2024-02-16,Russia has already fired 24 North Korean-made ballistic missiles on Ukraine: Prosecutor General explains their specifics
2024-02-12,AI ‘resurrects’ long dead dictator in murky new era of deepfake electioneering | CNN
2024-02-18,G7 agrees to continue supporting Ukraine
2024-02-05,Israeli settler violence 'must stop': French FM
2024-02-14,Three guilty of showing support for Hamas at pro-Palestine protest
2024-02-12,EU takes first step to use Russia's frozen assets for Ukraine
2024-02-08,"Unprecedented Amazon drought was primarily caused by climate change, not El Niño, study finds"
2024-02-26,"EU sanctions on Russia ‘massively circumvented’ via third countries, study finds"
2024-02-26,"IDF says it uncovered major Gaza tunnel passing under hospital, university"
2024-02-14,Putin signs law allowing seizure of property for ‘spreading false information’ about military
2024-02-17,February on course to break unprecedented number of heat records
2024-02-19,Thousands protest Mexican President López Obrador’s government in ‘march for democracy’
2024-02-06,IDF discovers direct links between Iran and Hamas's Sinwar in Gaza
2024-02-06,Kenyan Cult Leader Is Charged in the Deaths of 191 Children
2024-02-04,"Facing dire labor shortage, Israel recruits migrant workers from India"
2024-02-21,Police interventions fall by half after Polish city of Kraków bans alcohol sales at night
2024-02-25,PM Orbán with Putin again: Hungary vetoed EU's declaration against Russia
2024-02-23,Indian Foreign Ministry urges citizens to avoid joining Russian army in Ukraine conflict
2024-02-23,Guards at prison where Navalny died allegedly tortured inmate to death in 2022
2024-02-03,"Indian Navy foils another piracy attempt off Somalia coast; 11 Iranian, 8 Pak nationals rescued"
2024-02-26,HUR Chief Budanov Says Seems Navalny Died of Detached Blood Clot
2024-02-04,"Canada's 2022 fertility rate lowest on record, StatsCan reports"
2024-02-03,Romanian doctor from Ukraine offers free medical assistance to soldiers with mobile clinic
2024-02-22,Russia 'struggling with supply of weapons and ammunition' for Ukraine war - Western officials
2024-02-07,Chechen woman feared murdered by her family in ‘honour killing’
2024-02-20,Estonia's Prime Minister Kaja Kallas said on Tuesday that her country had successfully halted a hybrid operation by Russia's security services on Estonian territory
2024-02-19,U.S. strikes Houthi underwater drone for first time since Red Sea attacks started
2024-02-09,Turkish prosecutors seek prison sentence for ‘free the nipple’ banner
2024-02-03,Revolutionary 3D-Printed Brain Tissue Mimics Human Function - Neuroscience News
2024-02-25,South Korean hospitals extend working hours to tackle doctors' protest
2024-02-03,Czechs want EU to shop abroad for Ukraine shells
2024-02-05,The US is increasing its urgent military aid to Guyana as neighboring Venezuela's threats linger
2024-02-25,"Canada is facing ‘irrelevance’ on world stage, ex-defence chief warns - National | Globalnews.ca"
2024-02-03,Maldives government asks India why its coast guard boarded 3 fishing boats
2024-01-31,Britain set to deploy aircraft carrier to Red Sea to counter Iran-backed Houthi attacks
2024-01-28,Canada to restart arms exports after Turkey backs Sweden joining NATO: sources
2024-02-16,"Egypt building wall and clearing land on Gaza border, satellite images and footage show"
2024-02-03,Top UN court says Ukraine case over Russia’s invasion can go ahead
2024-02-03,"Around 150,000 gather in Berlin for latest round of protests against far-right"
2024-02-11,Costa Rica guarantees fair compensation and benefits for coffee pickers
2024-02-25,Sadiq Khan urges Government to do more to combat London property owners with links to the Kremlin
2024-02-25,March held in Taipei to support Ukraine on anniversary of Russia's invasion 
2024-02-08,Stress found to send harmful enzymes to the brain
2024-02-03,"Pakistan ex-PM Khan, wife jailed over 'unlawful marriage': The pair were convicted of breaking an Islamic law that stipulates a three-month wait between a divorce and a new marriage. The verdict was the third in a week against Imran Khan"
2024-02-26,Ukraine's Zelenskiy urges 'fight' for Crimea after 10 years of occupation
2024-01-29,Tesla halts production in Germany due to Red Sea shipping disruptions
2024-02-26,India looks to rooftop solar to provide ‘free electricity’ for up to 10 million homes
2024-02-23,France blames Russia’s FSB for anti-Semitic Star of David graffiti campaign
2024-02-01,Navalny calls on voters opposed to Putin’s re-election to vote at midday across Russia
2024-02-17,India: Right to peaceful protest under threat due to mounting restrictions and escalating crackdown on farmers’ march
2024-01-28,N. Korea fires several cruise missiles from its east coast: S. Korea
2024-02-22,IDF said advancing Gaza City pilot to have unaffiliated locals take over governance
2024-02-13,"Meta Removes 795,000 Posts After EU Rebuke on Hamas Content"
2024-02-03,Polish president restates support for Ukraine after Crimea remarks
2024-02-16,NATO/Ukraine training center to be established in Poland
2024-02-25,Israel vows to target Lebanon's Hezbollah even if temporary pause reached with Hamas in Gaza
2024-02-12,Russian attack drone operators being trained in Syria
2024-02-25,US and British struck 18 Houthi sites in Yemen in response to militants' surge in Red Sea attacks on ships
2024-02-22,Ukraine’s air defenses shoot down 8 out of 10 enemy Shahed UAVs overnight
2024-02-08,Medvedev again threatens the world with ''apocalypse''
2024-02-19,Tests on Alexei Navalny's body to take 14 days - ally
2024-01-30,"The Egyptians who have sent more than 130,000 digital cell phone cards to Gaza to defy blackouts"
2024-02-09,Ukraine's New Commander In Chief Says 'Change Of Warfare Methods' Necessary
2024-02-01,Switzerland adopts latest EU sanctions against Russia
2024-02-15,UK economy slipped into technical recession at the end of 2023
2024-01-29,UK government to ban disposable vapes to prevent use by children
2024-02-06,Yandex: Owner of 'Russia's Google' pulls out of home country
2024-02-02,"Foreign interference networks ‘deeply embedded’ in Canadian politics, CSIS report says - National | Globalnews.ca"
2024-01-31,"In eastern Indonesia, a child adventurer discovered an unknown species of giant stick insect: 14-year-old boy discovered the foot-long insect while hiking with his father"
2024-02-08,Explosions heard near US army base in Syria - report - The Jerusalem post
2024-02-04,Russia Charges Self-Exiled Ex-Duma Deputy Who Opposed War With 'High Treason'
2024-02-20,WikiLeaks founder Assange starts final U.K. legal battle to avoid extradition to U.S. on spy charges
2024-02-16,UN chief warns climate chaos and food crises threaten global peace: 'Empty bellies fuel unrest'
2024-02-12,Chief of UN aid agency in Gaza calls EU funds 'absolutely critical' but the bloc wants an audit
2024-02-11,Nigeria: Dozens arrested for attending gay weddings
2024-01-31,"Ukrainian Cyberattack Takes Down Russian Defense Ministry Server, HUR Says"
2024-02-10,"New US directive links military aid to human rights, including for Israel"
2024-02-23,Zelenskyy on corruption in Ukraine: ''Everything is clean''
2024-02-10,Swiss group gathers signatures to limit population growth
2024-02-06,UN food agency says it has reports of people dying from starvation amid the conflict in Sudan
2024-02-13,Police in the Swiss ski resort of Davos are investigating reports that a ski rental store was refusing to sell equipment to Jewish people
2024-02-04,"Netherlands and Jordan jointly air drop relief aid, hospital supplies in Gaza"
2024-02-01,Sudan Now has the Highest Rate of Internal Displacement in the World
2024-02-22,"Governments around the world are ""reaching beyond their borders"" to attack their own citizens abroad in order to crush dissent, Human Rights Watch said Thursday, urging more protection for them"
2024-02-15,Greece Is Set to Be First Orthodox Country to Allow Same-Sex Marriage
2024-02-06,Ukrainian special forces ‘in Sudan operating against Russian mercenaries’
2024-02-11,/r/WorldNews Live Thread for Israel-Hamas War (Thread 46)
2024-02-07,"Ukraine Announces Military Drone Force, Underlines Key Role Played By UAVs"
2024-02-05,Russian Anti-War Candidate Vows To Fight As Election Commission Warns Of 'Flawed' Signatures
2024-02-19,U.S. Proposes UN Security Council Oppose Rafah Assault
2024-02-16,"Germany signs long-term security deal with Ukraine, unveils new aid package"
2024-02-06,Netherlands accuses China of cyber espionage after security service finds compromised Fortigate system
2024-02-03,‘Cleansing the world of Jews’: Porto housing protest turns antisemitic
2024-02-16,AI hiring tools may be filtering out the best job applicants
2024-02-15,"Pakistan politician gives up seat, saying vote was rigged in his favor"
2024-02-11,New UN weather agency chief says rate of global warming is speeding up
2024-02-02,"Armenia joins International Criminal Court, Moscow decries 'unfriendly step'"
2024-02-24,Dutch far-right leader Wilders against signing security agreement with Ukraine
2024-02-14,"Russian Artist Threatens to Dissolve $45 M. of Artworks by Picasso, Rembrandt if Julian Assange Dies in Prison"
2024-02-03,US and UK strike Houthi targets in Yemen one day after US strikes in Iraq and Syria
2024-02-23,Bolsonaro Coup Plans: U.S. Pressure Campaign Kept Brazil's Generals at Bay
2024-02-21,"Argentina's poverty levels hit 57% of population, a 20-year high in January"
2024-01-28,Biden and Germany's Scholz to meet as US and EU aid for Ukraine hangs in the balance
2024-02-24,"PM: It is not only Ukraine's struggle, but also important values we defend"
2024-01-31,Russia replacing destroyed tanks in Ukraine at rate of 100 a month: UK
2024-02-06,EU faces pressure to sanction Russian aluminum
2024-02-04,Swiss soldiers to train on foreign soil for first time in 20 years
2024-02-07,"UK halves emissions by 50%, compared to 1990 emissions- Energy Live News"
2024-02-27,Chinese visitors allegedly barred from Airbus German military plane
2024-02-02,Iran-backed militia in Iraq vows to continue attacks on US forces as White House mulls military action | CNN
2024-02-01,Victims of October 7 set to sue Iran in US federal court - NBC report
2024-02-24,"“the U.S. will have to give up its global leadership if it gives into North Korean extortion”,South Korean defense minister said"
2024-02-02,North Korea tests more cruise missiles as leader Kim calls for war readiness
2024-02-25,"Russian reconnaissance drone tracks Baerbock column, Mykolaiv visit aborted"
2024-02-23,US working to provide Ukraine with longer-range ATACMS missiles - White House
2024-02-21,Poland probes pro-Putin banner at farmers' protest
2024-02-19,"On Valentine’s Day, LGBTQ activists in Japan call for same-sex marriage rights"
2024-02-16,Neutral Swiss to beef up military spending in wake of Ukraine war
2024-02-20,Special forces blocked UK resettlement applications from elite Afghan troops
2024-01-30,These innovations are speeding up the recovery of bleached coral reefs
2024-02-26,ADHD linked to evolutionary success in ancient humans
2024-02-20,Wife of Haiti's assassinated president amongst dozens indicted in his killing
2024-02-06,Fossil fuels are losing ground to renewable energy in Europe. A new report shows a record drop in greenhouse gas emissions and power generation from fossil fuels.
2024-01-31,State Department reviewing options for possible recognition of Palestinian state
2024-02-12,UK sanctions four Israeli settlers accused of violence
2024-02-26,Rights campaigner calls Russia 'fascist' in court
2024-02-18,"Germany: More demos against far-right, AfD slips in polls"
2024-01-31,"Chinese hackers are targeting US infrastructure, FBI chief to testify"
2024-02-22,Germany's Bundestag votes against Taurus missiles to Ukraine
2024-02-11,SSU identifies 5 more Russian military personnel involved in torture of civilians in Sumy region
2024-02-13,"Netanyahu to Biden: I want a hostage deal, but Hamas's demands are a non-starter"
2024-02-19,Germany seeks new EU sanctions on Russia over Navalny death
2024-02-18,"Ukraine accuses Russia of executing injured prisoners at Avdiivka, Vesele"
2024-02-17,Hungary rocked by protests over child sex abuse pardon case
2024-01-31,Switzerland hands over first batch of Leopard 2 tanks to Germany
2024-02-21,Zelenskyy calls for urgent talks to end Polish border crisis
2024-02-11,A Saudi dissident who has unsuccessfully sought asylum in Bulgaria has received a deportation order and now fears he could be sent back to the Gulf kingdom any day
2024-02-13,Russia Puts Estonian PM And Dozens Of Baltic Officials On Wanted List For Removing Monuments
2024-02-06,"Despite U.S. airstrikes, Iran continues to arm its proxies"
2024-02-24,Israel reaches agreement on updated hostage deal outline in Paris talks
2024-02-10,EU Readies New Sanctions Targeting Foreign Companies Helping Russia's War Effort
2024-02-05,Mayor of Kyiv stands up for Commander-in-Chief of Ukrainian Armed Forces: Politics can outweigh common sense
2024-02-20,Police called to investigate alleged LGBTQ propaganda at Russian ‘My Little Pony’ convention
2024-02-18,"US conducted five self-defense strikes in Houthi-controlled areas of Yemen, military says"
2024-02-09,Students block streets to protest private universities possibly coming to Greece
2024-02-15,"Japan slips to the world's fourth-largest economy, behind the US, China and now Germany"
2024-02-01,Israelis tell British MPs of evidence of Hamas sexual violence
2024-02-25,Belarus' Lukashenko says he'll run for president in 2025
2024-02-13,Russia Orders Arrest of Meta Exec for 'Extremist Activities'
2024-02-02,Saudi Arabia willing to make concessions on Palestinians for peace with Israel
2024-02-23,High-rise complex consumed by fire in Spain was made in 2008 with ‘innovative materials’ by a developer that went bankrupt
2024-02-10,Zelenskiy fills out rebooted Ukraine military team
2024-02-23,PM: F-16 aircraft from Denmark will appear in Ukraine by summer
2024-02-25,"Israel plans to build 3,300 new settlement homes in West Bank"
2024-02-20,Hungary’s governing party says it’s ready to approve Sweden’s NATO accession on Monday
2024-02-17,China using cyanide to 'destroy' Scarborough on purpose — BFAR
2024-02-13,Turkey arrests suspected ISIS member working at nuclear plant
2024-02-18,Iraqi armed groups dial down U.S. attacks on request of Iran commander
2024-01-30,China’s human rights record criticised at UN as it faces rare scrutiny of policies
2024-02-07,Thailand takes steps to ban weed two years after decriminalizing it
2024-02-22,"Britain’s ‘deep state’ thwarted my plans, Liz Truss tells US hard-right summit"
2024-02-16,"India resumes buying Russian Sokol oil after 2-month hiatus, sources say"
2024-02-14,Hungary resignations leave Viktor Orban in biggest crisis yet
2024-02-08,"Death Threats, Boycotts Target Jewish Creatives in Australia"
2024-02-11,French Interior Minister Gérald Darmanin says France will end birthright citizenship in overseas territory Mayotte
2024-01-30,"Indian Navy conducts anti-piracy operation, saves 19 Pakistani crew"
2024-01-29,Middle East latest: Israel agrees to hostage deal terms; calls in US for 'devastating retaliation' to deadly drone strike
2024-02-24,Singapore's Ministry of Education responds to parents’ criticisms over Israel-Hamas lesson material
2024-02-21,Lithuania to close 2 more checkpoints with Russian ally Belarus as tensions along the border rise
2024-02-10,Germany and Mongolia sign Joint Declaration on strategic partnership
2024-02-15,"UK could contribute to nuclear shield if Trump wins, suggests German minister"
2024-02-16,Polish prime minister says his country and Finland want changes on EU border policies on migration
2024-02-26,"Germany, India holding secret talks on purchase of shells for Ukrainian Armed Forces"
2024-02-03,"Ukraine must adapt to a reduction in Western military aid, embattled army chief says"
2024-02-15,UK antisemitic hate crimes hit new high - report - BBC News
2024-02-08,"Ethiopian PM says ""no death due to starvation so far"" as authorities in Tigray report 860 deaths from hunger in the past six months"
2024-02-02,Japan to introduce six-month residency visa for 'digital nomads'
2024-02-12,HMS Prince of Wales sails for key NATO exercise in Norway
2024-02-26,"Half of Western military aid not delivered on time, says Ukraine minister"
2024-02-19,Israeli protesters block aid convoys bound for Gaza
2024-02-14,"Academics in the United States, the United Kingdom and Australia collaborated on drone research with Iranian university Sharif University"
2024-01-30,Germany: Police seize bitcoins worth €2 billion
2024-01-30,Russia anti-war band arrested in Thailand faces deportation
2024-02-08,"Lack of competition allows supermarkets, banks and airlines to gouge Australians, report finds"
2024-02-03,Pakistan ex-PM Imran Khan and wife jailed for 7 years for unlawful marriage
2024-02-03,Partnership with India is one of most consequential relationships: U.S.
2024-02-23,Ukrainian air defenses destroy 23 out of 31 kamikaze drones overnight
2024-02-09,Germany silent on Putin's call to free Russian hitman
2024-02-06,Turkey's drone maker Baykar begins to build plant in Ukraine
2024-02-26,X suspends some India accounts after order from Modi government
2024-02-04,Diplomatic tensions between Ecuador and Russia over military equipment threaten banana exports
2024-02-08,Brazil's ex-leader Bolsonaro to have passport seized over coup probe
2024-02-16,Japan OKs plan to boost child allowances to tackle falling birthrate
2024-02-15,Nations receiving US arms told to abide by laws of war
2024-02-12,"Kelvin Kiptum, men's marathon world record holder, dies in a car crash"
2024-02-05,US-UK airstrikes reported on Iran-backed Houthis second night in a row
2024-02-04,Russia lures Syrians into army in exchange for Yakut passports
2024-02-06,Kazakhstan's president dismisses his Cabinet
2024-02-18,Germany: Number of school dropouts is rising
2024-02-16,"One of the worst methane leaks ever recorded took place last year in Kazakhstan. Estimated 127,000 tonnes of gas escaped."
2024-02-13,Israel to send delegation to Cairo hostage talks as Biden touts push for 6-week pause
2024-02-07,Netanyahu rejects Hamas's proposed ceasefire terms
2024-02-05,China Drops to Second in BloombergNEF’s Global Lithium-Ion Battery Supply Chain Ranking as Canada Comes Out on Top
2024-02-10,Scientists in UK set fusion record
2024-02-14,[Exclusive] New EU sanctions: Lukashenko also stealing Ukraine's children
2024-02-04,Hamas rushes to try and rebuild influence in northern Gaza
2024-02-26,Military intelligence: Russia plans to produce 2.7 million shells this year. We had better get ahead of them.
2024-01-30,Canada facing a crisis in hospital emergency care
2024-02-08,Data of half the population of France stolen in its largest ever cyberattack
2024-02-15,Ukraine's second city keeps going despite Russian attacks
2024-01-28,Workers Protests Continues In Iran Amid Economic Strain
2024-02-25,Top general says US Army would be a key player in a war in Pacific
2024-02-22,UK aid supplies air-dropped into Gaza for first time
2024-02-16,"Japan to aid Ukraine in 7 key areas, including with land mines"
2024-02-03,North Korea says it tested cruise missiles with ‘super-large’ warheads in its latest weapons display
